time,BOCAS DEL TORO,CHIRIQUI,COCLE,COLON,DARIEN,HERRERA,KUNA YALA,LOS SANTOS,NGOBE BUGLE,PANAMA,VERAGUAS
2022-09-18,28.0,4.0,14.0,7.0,3.0,36.0,4.0,8.0,1.0,273.0,2.0
2022-09-25,19.0,6.0,14.0,16.0,1.0,31.0,0.0,9.0,0.0,263.0,1.0
2022-10-02,17.0,6.0,16.0,7.0,1.0,29.0,0.0,7.0,0.0,231.0,1.0
2022-10-09,18.0,10.0,15.0,11.0,1.0,29.0,1.0,10.0,0.0,217.0,4.0
2022-10-16,18.0,14.0,22.0,3.0,1.0,31.0,0.0,12.0,0.0,206.0,1.0
2022-10-23,11.0,6.0,24.0,9.0,1.0,33.0,1.0,12.0,0.0,177.0,1.0
2022-10-30,15.0,4.0,17.0,7.0,3.0,32.0,1.0,14.0,0.0,143.0,4.0
2022-11-06,5.0,4.0,11.0,1.0,1.0,33.0,1.0,7.0,0.0,98.0,5.0
