time,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAJIRA,GUAVIARE,HUILA,MAGDALENA,META,NARINO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE,VAUPES,VICHADA
2022-11-06,13.0,42.0,27.0,400.0,7.0,147.0,4.0,1.0,14.0,27.0,15.0,73.0,13.0,84.0,19.0,2.0,90.0,18.0,17.0,24.0,96.0,13.0,47.0,7.0,3.0,3.0,1.0,59.0,80.0,97.0,85.0,1.0,2.0
2022-11-13,8.0,39.0,25.0,486.0,7.0,256.0,4.0,3.0,15.0,37.0,8.0,56.0,14.0,80.0,20.0,1.0,89.0,30.0,13.0,36.0,102.0,15.0,44.0,15.0,1.0,2.0,1.0,55.0,84.0,97.0,95.0,1.0,1.0
2022-11-20,8.0,36.0,29.0,452.0,7.0,232.0,3.0,3.0,21.0,27.0,19.0,67.0,22.0,54.0,29.0,1.0,91.0,31.0,24.0,41.0,117.0,10.0,44.0,15.0,3.0,2.0,1.0,58.0,78.0,110.0,80.0,1.0,1.0
2022-11-27,12.0,24.0,34.0,496.0,7.0,172.0,3.0,6.0,24.0,18.0,12.0,53.0,15.0,63.0,25.0,1.0,103.0,41.0,17.0,47.0,95.0,9.0,48.0,14.0,3.0,2.0,1.0,41.0,84.0,107.0,72.0,3.0,1.0
2022-12-04,10.0,26.0,28.0,532.0,7.0,197.0,3.0,4.0,20.0,25.0,10.0,49.0,22.0,75.0,31.0,1.0,129.0,31.0,25.0,47.0,98.0,10.0,50.0,12.0,4.0,2.0,1.0,46.0,90.0,113.0,85.0,3.0,1.0
2022-12-11,10.0,24.0,22.0,538.0,7.0,176.0,6.0,4.0,18.0,16.0,18.0,60.0,23.0,55.0,37.0,1.0,148.0,27.0,29.0,33.0,111.0,5.0,28.0,14.0,3.0,2.0,1.0,40.0,102.0,84.0,63.0,2.0,2.0
2022-12-18,11.0,28.0,27.0,506.0,7.0,169.0,5.0,1.0,19.0,13.0,7.0,52.0,12.0,61.0,52.0,1.0,138.0,22.0,25.0,45.0,89.0,1.0,48.0,7.0,1.0,1.0,1.0,58.0,101.0,112.0,55.0,2.0,7.0
2022-12-25,8.0,30.0,15.0,449.0,7.0,166.0,5.0,3.0,24.0,12.0,16.0,32.0,12.0,78.0,39.0,1.0,116.0,16.0,27.0,32.0,97.0,6.0,49.0,12.0,2.0,1.0,1.0,61.0,110.0,119.0,61.0,3.0,7.0
