series_index,series_name,smape,mae,rmse
0,Washington,13.847774448838646,574.9551590655093,1697.4556386680501
1,Illinois,86.93121727859622,236.00634535359404,563.766408337955
2,California,38.82689086352989,515.0504798040419,1025.4636598788204
3,Arizona,6.048880862842066,248.8327509371696,676.2237096660148
4,Massachusetts,33.014983307520836,170.79136842611084,417.65905889165253
5,Wisconsin,6.949515707651265,71.88450238097212,131.83854783120827
6,Texas,13.680630936161595,5542.1514971444285,18708.898152059486
7,Nebraska,41.077029593211016,186.7326191130791,421.7533089068777
8,Utah,32.454620813404176,55.93075609086569,146.56133397831155
9,Oregon,2.720988706541499,53.77361798760993,146.2987016541654
10,Florida,191.51819213815583,4928.190344057818,8834.321812286049
11,New_York,105.20134040425677,662.4939787870719,785.413080596799
12,Rhode_Island,3.43808581552685,21.26513025742239,56.29345062722128
13,Georgia,3.3783670496787717,108.7962382649688,293.1901062856987
14,New_Hampshire,63.54397602096756,63.568135720647845,96.56488814918299
15,North_Carolina,7.498442506427054,461.78025636210424,1221.8534273385615
16,New_Jersey,21.377606551524135,164.10929897775918,224.8120300761353
17,Colorado,33.311572392373066,113.02602520550737,173.65356898404983
18,Maryland,25.488932778560606,129.88739646628306,195.46975306471856
19,Nevada,30.985458304734898,72.45717826366798,156.9381602210328
20,Tennessee,20.211918002850794,268.7170191594129,711.9198848531798
21,Hawaii,2.736142991578656,14.259139204083453,39.739938997111054
22,Indiana,57.14285714285714,731.6222709714685,1580.5839134585576
23,Kentucky,38.148923985384286,374.1251406914137,945.6978070636168
24,Minnesota,5.756879279306103,194.30137138809752,514.7094567888353
25,Oklahoma,162.09868848354145,222.22320802956418,419.13836266931764
26,Pennsylvania,4.880605991055089,329.02702721763654,878.3631416892244
27,South_Carolina,39.398043413608484,449.315150335847,943.649032572292
28,District_of_Columbia,6.781591917013238,12.218592445746006,33.05523214849014
29,Kansas,26.288597089375116,64.80108015413222,164.56409518611977
30,Missouri,42.88454517842993,213.00172414677175,407.09191665236693
31,Vermont,56.89323956660682,97.2540546448975,184.71667327072205
32,Virginia,123.82185833292272,654.3495421512735,963.8578103073223
33,Connecticut,39.632527361833034,39.64328530473069,50.63761910872574
34,Iowa,173.07098498006812,73.6314556386562,95.07548393220453
35,Louisiana,4.389144173960389,165.65282381946645,535.500190456849
36,Ohio,2.3741132473398907,188.17671113750424,506.51404623921405
37,Michigan,172.98987538086809,114.23244689707403,294.37009455686797
38,South_Dakota,1.0951864583805704,7.627934039257241,27.312531795215737
39,Arkansas,101.86871106800177,145.08736669287973,216.99841229663662
40,Delaware,19.85835845337478,113.59023931657893,367.35478570361886
41,Mississippi,19.30545834867436,70.32993541930577,182.99689253499875
42,New_Mexico,22.240534194100274,53.555592111526614,70.6419000635048
43,North_Dakota,3.6725619622870576,23.74618877332461,67.40135328080316
44,Wyoming,4.079633868326597,8.960482211788003,28.731527791223442
45,Alaska,2.6194026952917513,13.367753208459817,37.06913288787341
46,Maine,175.25411708928175,132.74471065015945,150.10348879426098
47,Alabama,178.1754634199561,472.6907968169935,518.7494752202837
48,Idaho,142.63829244351228,94.92717998390329,161.75150245969667
49,Montana,34.03130787741603,10.977528455017506,24.72173544801217
50,Puerto_Rico,96.20675662714697,240.0581116938459,299.60442757444594
51,Virgin_Islands,118.64925797475114,5.5393570395196745,7.803611116218387
52,Guam,135.86647328435072,14.033835907476101,22.649390856040274
53,West_Virginia,121.35402196560725,204.43656725667512,269.65888655690844
54,Northern_Mariana_Islands,85.71428571428571,0.6751646153029736,1.164073531315428
55,American_Samoa,71.42857142857143,2.387944735858337,4.9248312697352254
