day,date,series_index,series_name,predicted,actual,absolute_error,smape_component
1,2020-07-19,0,England,488.5466911965143,387.0,101.5466911965143,23.1961795338959
1,2020-07-19,1,Northern Ireland,0.0,0.0,0.0,0.0
1,2020-07-19,2,Scotland,17.13461013554067,24.0,6.865389864459331,33.38011393246474
1,2020-07-19,3,Wales,8.793849196009674,10.0,1.206150803990326,12.835590957560912
2,2020-07-20,0,England,718.1095101892698,735.0,16.890489810730173,2.3247373569979817
2,2020-07-20,1,Northern Ireland,0.0,0.0,0.0,0.0
2,2020-07-20,2,Scotland,8.05545721889898,7.0,1.0554572188989795,14.020925483074318
2,2020-07-20,3,Wales,27.48497381637212,43.0,15.515026183627882,44.02364175958331
3,2020-07-21,0,England,657.8502105266871,675.0,17.14978947331292,2.573400872486044
3,2020-07-21,1,Northern Ireland,0.0,0.0,0.0,0.0
3,2020-07-21,2,Scotland,6.355060304949561,22.0,15.64493969505044,110.35024808125351
3,2020-07-21,3,Wales,22.237769284776178,61.0,38.76223071522382,93.13615933797799
4,2020-07-22,0,England,751.4017059386105,729.0,22.401705938610462,3.026436115109343
4,2020-07-22,1,Northern Ireland,0.0,0.0,0.0,0.0
4,2020-07-22,2,Scotland,10.783176410138509,10.0,0.783176410138509,7.536638237420317
4,2020-07-22,3,Wales,15.327600390581892,24.0,8.672399609418108,44.103375356178404
5,2020-07-23,0,England,705.4085638734936,714.0,8.591436126506437,1.2105656320771865
5,2020-07-23,1,Northern Ireland,0.0,0.0,0.0,0.0
5,2020-07-23,2,Scotland,13.324261630414085,16.0,2.6757383695859147,18.24931453217382
5,2020-07-23,3,Wales,22.035943976868282,31.0,8.964056023131718,33.80370122964685
6,2020-07-24,0,England,585.8690182777293,678.0,92.13098172227069,14.579197747535156
6,2020-07-24,1,Northern Ireland,0.0,0.0,0.0,0.0
6,2020-07-24,2,Scotland,22.64995264122153,21.0,1.6499526412215317,7.559928666054829
6,2020-07-24,3,Wales,20.48468371452647,30.0,9.515316285473531,37.69585381292819
7,2020-07-25,0,England,501.63900925949144,486.0,15.639009259491445,3.166948472644313
7,2020-07-25,1,Northern Ireland,0.0,0.0,0.0,0.0
7,2020-07-25,2,Scotland,18.482361500756113,27.0,8.517638499243887,37.45468888682171
7,2020-07-25,3,Wales,10.10146118131749,23.0,12.89853881868251,77.93335012028086
8,2020-07-26,0,England,497.5927697916645,504.0,6.407230208335477,1.2794082388730117
8,2020-07-26,1,Northern Ireland,0.0,0.0,0.0,0.0
8,2020-07-26,2,Scotland,22.313038470394005,4.0,18.313038470394005,139.1936434174931
8,2020-07-26,3,Wales,7.95380408334799,34.0,26.04619591665201,124.16607497573781
9,2020-07-27,0,England,760.1474175110798,779.0,18.852582488920234,2.4497435754927643
9,2020-07-27,1,Northern Ireland,0.0,0.0,0.0,0.0
9,2020-07-27,2,Scotland,11.56829467006763,3.0,8.56829467006763,117.62934322947565
9,2020-07-27,3,Wales,24.578902840084226,22.0,2.5789028400842255,11.073265718336797
10,2020-07-28,0,England,709.4862643031048,695.0,14.486264303104804,2.0628559596903964
10,2020-07-28,1,Northern Ireland,0.0,0.0,0.0,0.0
10,2020-07-28,2,Scotland,9.357003744031488,4.0,5.357003744031488,80.21265617186397
10,2020-07-28,3,Wales,21.308463725625558,21.0,0.30846372562555757,1.4581655700191545
11,2020-07-29,0,England,798.0295444058528,643.0,155.0295444058528,21.516497702310833
11,2020-07-29,1,Northern Ireland,0.0,0.0,0.0,0.0
11,2020-07-29,2,Scotland,12.595389591894644,22.0,9.404610408105356,54.36915449744646
11,2020-07-29,3,Wales,15.130277210260644,12.0,3.130277210260644,23.075895509661628
12,2020-07-30,0,England,738.9271092120621,393.0,345.9271092120621,61.121799521678206
12,2020-07-30,1,Northern Ireland,0.0,0.0,0.0,0.0
12,2020-07-30,2,Scotland,16.759142778580298,17.0,0.24085722141970223,1.4269155055235747
12,2020-07-30,3,Wales,21.539790363556236,5.0,16.539790363556236,124.64145448766057
13,2020-07-31,0,England,628.3344537656266,45.0,583.3344537656266,173.26737121599095
13,2020-07-31,1,Northern Ireland,0.0,0.0,0.0,0.0
13,2020-07-31,2,Scotland,24.409460619216475,30.0,5.590539380783525,20.549879808251745
13,2020-07-31,3,Wales,17.929062109888932,0.0,17.929062109888932,200.0
14,2020-08-01,0,England,549.3080372481409,0.0,549.3080372481409,200.0
14,2020-08-01,1,Northern Ireland,0.0,0.0,0.0,0.0
14,2020-08-01,2,Scotland,24.15997531412549,18.0,6.159975314125489,29.22191138978974
14,2020-08-01,3,Wales,9.219497546147181,0.0,9.219497546147181,200.0
