series_index,series_name,smape,mae,rmse
0,Washington,15.479447429585386,623.5795196331663,1876.173118926876
1,Illinois,104.99848676769629,838.1307760708647,1107.3643677385803
2,California,67.49270211154655,1040.6486283740303,1447.6273034059873
3,Arizona,5.695705557283848,231.54480379733104,714.7682552929816
4,Massachusetts,21.603465404611285,299.9675601040437,780.8833605156087
5,Wisconsin,34.33042862741687,109.62883883935989,178.99590391229773
6,Texas,97.50587711842637,5844.701652239254,20418.120062697857
7,Nebraska,45.06240361182688,188.29845807756192,415.7329074038442
8,Utah,33.604031906907025,91.5102066312674,204.49514859773006
9,Oregon,3.370746459595362,68.38068488744092,181.69546639333674
10,Florida,193.2925748403844,4991.201200328728,9118.679528895209
11,New_York,92.5982573868794,661.3640348499456,866.5535011093808
12,Rhode_Island,33.28192896097582,37.501708423518544,85.10587460509147
13,Georgia,2.777257968302874,87.98305829368671,244.49365323504463
14,New_Hampshire,63.856965054304126,65.90299826556857,98.90201506372085
15,North_Carolina,7.68202879053739,477.1764913097032,1262.5049069834265
16,New_Jersey,16.932645600445507,127.37620190617679,185.75211899985723
17,Colorado,34.866867801815374,122.57772973849922,188.64838497995075
18,Maryland,17.681230102565223,86.41892429446519,138.1138523268243
19,Nevada,59.545430910292104,96.05691107543194,173.41911698588197
20,Tennessee,89.3153755772449,272.99537821356427,462.8430256862237
21,Hawaii,2.8386213645881817,14.858964822244072,41.32912948518706
22,Indiana,85.71428571428571,735.0824419598883,1550.2155859187503
23,Kentucky,37.99337260197181,424.4022274322506,942.6965257050725
24,Minnesota,5.693129147317542,191.68520492037268,509.3117069545453
25,Oklahoma,62.069296433315145,215.21244490561688,423.6937585226225
26,Pennsylvania,5.3864672554251465,371.7830055181898,1004.9683318122962
27,South_Carolina,39.62465757694657,453.04227418402934,966.2582808660545
28,District_of_Columbia,6.859164578863675,12.404655571138006,33.505563133975286
29,Kansas,72.56000979165167,155.67733101720856,329.4713585779773
30,Missouri,50.82772871007467,235.22525282231143,419.26513980897585
31,Vermont,55.87024903612773,95.41161564838379,181.22997771627138
32,Virginia,123.7726007771499,670.3608399665043,991.7500912846381
33,Connecticut,60.80641373143428,119.21348381800122,202.5948361221678
34,Iowa,86.70860746052156,54.98543729038546,83.40343737337994
35,Louisiana,88.71013532877035,147.86781487628903,286.7356648000791
36,Ohio,2.7024831189082676,217.09249043305758,587.7711504357743
37,Michigan,44.42343178273282,129.20090752976512,299.48802471062595
38,South_Dakota,1.3472483056026328,9.441592486695145,26.34029823019368
39,Arkansas,103.56685321821335,153.47948506664667,217.09602182505202
40,Delaware,18.790437239498694,111.2226799927781,366.6595862444103
41,Mississippi,58.55910554112379,116.54891338550735,257.9092874198008
42,New_Mexico,20.76818037402799,48.521029025980475,64.04872772083752
43,North_Dakota,17.276784918544372,18.760616129319267,55.575503750378296
44,Wyoming,6.011279931429793,15.02647637673925,46.41140963567171
45,Alaska,30.038273020087075,25.21386208724925,53.265574939667
46,Maine,175.45072440129547,134.0916715573845,152.4468252471095
47,Alabama,33.978408245775924,206.11151956017213,397.2959589109802
48,Idaho,140.23066573299064,70.636019495914,121.5597815825089
49,Montana,33.325967057314585,11.06582050453392,25.584857494579133
50,Puerto_Rico,88.30615362955331,250.03024077008726,314.19742639739184
51,Virgin_Islands,123.69119146380281,7.203182897661423,9.600142510515159
52,Guam,136.46969185927654,13.76485185047579,22.835362848444884
53,West_Virginia,122.90362207718483,222.0325352990802,292.5748820302802
54,Northern_Mariana_Islands,71.42857142857143,1.0799700307081275,2.161722209514418
55,American_Samoa,71.42857142857143,2.177514073605383,4.470329049814985
