day,date,series_index,series_name,predicted,actual,absolute_error,smape_component
1,2022-11-06,0,AMAZONAS,11.09429525517308,13.0,1.9057047448269202,15.818721607288039
1,2022-11-06,1,ANTIOQUIA,16.74999653472453,42.0,25.25000346527547,85.9574636752576
1,2022-11-06,2,ARAUCA,23.858791637454406,27.0,3.141208362545594,12.352666122850964
1,2022-11-06,3,ATLANTICO,458.4020868481616,400.0,58.402086848161616,13.607163296305467
1,2022-11-06,4,BOGOTA,7.013183481537502,7.0,0.01318348153750204,0.18815826617658146
1,2022-11-06,5,BOLIVAR,152.95322120604845,147.0,5.953221206048454,3.9694330883407822
1,2022-11-06,6,BOYACA,3.2348730245478787,4.0,0.7651269754521213,21.15108234397619
1,2022-11-06,7,CALDAS,0.9714593292211475,1.0,0.028540670778852473,2.895385195709603
1,2022-11-06,8,CAQUETA,25.176503536535726,14.0,11.176503536535726,57.05717727521344
1,2022-11-06,9,CASANARE,10.636433190975499,27.0,16.3635668090245,86.95599142454431
1,2022-11-06,10,CAUCA,13.60763494596305,15.0,1.3923650540369508,9.734219949793044
1,2022-11-06,11,CESAR,60.92971706879183,73.0,12.070282931208169,18.02480165773571
1,2022-11-06,12,CHOCO,23.300467349996886,13.0,10.300467349996886,56.75115557429742
1,2022-11-06,13,CORDOBA,70.58726433140933,84.0,13.41273566859067,17.352963359046193
1,2022-11-06,14,CUNDINAMARCA,20.224464481873007,19.0,1.2244644818730066,6.243371314547197
1,2022-11-06,15,GUAINIA,2.6665914000986937,2.0,0.6665914000986937,28.568663632500407
1,2022-11-06,16,GUAJIRA,79.76381383941734,90.0,10.236186160582662,12.059326341790666
1,2022-11-06,17,GUAVIARE,27.795661135244405,18.0,9.795661135244405,42.77986556986575
1,2022-11-06,18,HUILA,8.537952465657042,17.0,8.462047534342958,66.27036796095975
1,2022-11-06,19,MAGDALENA,33.12214457119534,24.0,9.122144571195342,31.939082958714103
1,2022-11-06,20,META,102.09523984043567,96.0,6.095239840435667,6.153847861609739
1,2022-11-06,21,NARINO,11.18201848249138,13.0,1.8179815175086205,15.035812819553522
1,2022-11-06,22,NORTE SANTANDER,39.28643650235547,47.0,7.713563497644529,17.87897104183683
1,2022-11-06,23,PUTUMAYO,9.162073353673739,7.0,2.1620733536737387,26.754900888780906
