series_index,series_name,smape,mae,rmse
0,AMAZONAS,35.383599751415986,4.301191420795331,5.127056267403948
1,ANTIOQUIA,42.22260774461285,10.745341800466916,12.975558658446358
2,ARAUCA,26.011152722627873,6.458337622561054,7.560531730148095
3,ATLANTICO,13.109105210501898,69.79752115329234,89.79420311391621
4,BOGOTA,0.08328159422326262,0.005831473001420395,0.006908434753056667
5,BOLIVAR,14.550059020925154,28.228984032815664,41.740509621925135
6,BOYACA,37.31497124315632,1.3806615985171253,1.8066789406592483
7,CALDAS,41.22407128324008,1.1731733556725754,1.468438562788342
8,CAQUETA,29.668369055080063,6.484525535915822,7.158891226522036
9,CASANARE,45.79279570421163,9.024686637357929,11.244794157406833
10,CAUCA,35.14075384919239,4.887699452901611,6.167244270586328
11,CESAR,22.742968402312357,12.717153423296235,15.418886319224171
12,CHOCO,49.82345390774649,10.646052855011632,11.884041042644391
13,CORDOBA,17.427250992591762,11.976576280678534,13.04884265508239
14,CUNDINAMARCA,41.812829227942814,12.036619677493109,15.200443287270891
15,GUAINIA,66.6274837239524,1.0726081675575814,1.0889520953653113
16,GUAJIRA,21.910479738756024,23.960213310203883,30.4593631006932
17,GUAVIARE,28.139552694177212,7.770440470928026,9.831480160498485
18,HUILA,69.61310500975368,11.76047862301553,12.89539171363866
19,MAGDALENA,17.038044374939492,6.26961116525426,7.415243668331506
20,META,14.336138356254175,15.06933387001792,17.82555413297624
21,NARINO,61.32747317172239,5.86669714511468,6.784631177667089
22,NORTE SANTANDER,20.439590324025236,8.408208845331632,8.891678460848572
23,PUTUMAYO,29.75905846344068,3.294938907624965,3.990049033675332
24,QUINDIO,57.12348568163716,1.773905529195273,2.0000119333962476
25,RISARALDA,139.26625478689056,1.4580871251486718,1.7114583294659818
26,SAN ANDRES,28.087206319751452,0.3143457400571281,0.3568659643552613
27,SANTANDER,14.600099382150578,7.4467832783295265,9.959783004116579
28,SUCRE,15.785976903857096,15.256212051368474,17.649331729413554
29,TOLIMA,15.604624046125359,15.465843240630031,17.82734144829107
30,VALLE,20.067996465205653,15.038716916536629,17.376800893794837
31,VAUPES,40.0,0.75,0.8660254037844386
32,VICHADA,76.43475657575803,2.088246771380536,2.8380261256032844
